grade_ENG,grade_MTH,grade_PHY,grade_CHM,grade_BIO,grade_ECO,grade_GEO,grade_GOV,grade_HIS,grade_LIT,grade_ACC,grade_COM,grade_ARA,grade_ISL,utme_ENG,utme_MTH,utme_PHY,utme_CHM,utme_BIO,utme_ECO,utme_GEO,utme_GOV,utme_HIS,utme_LIT,utme_ACC,utme_COM,utme_ARA,utme_ISL,strength_ENG,strength_MTH,strength_PHY,strength_CHM,strength_BIO,strength_ECO,strength_GEO,strength_GOV,strength_HIS,strength_LIT,strength_ACC,strength_COM,strength_ARA,strength_ISL,weakness_ENG,weakness_MTH,weakness_PHY,weakness_CHM,weakness_BIO,weakness_ECO,weakness_GEO,weakness_GOV,weakness_HIS,weakness_LIT,weakness_ACC,weakness_COM,weakness_ARA,weakness_ISL,career_interest,work_environment,aptitude,label
B2,A1,NONE,NONE,C4,C5,B3,C5,NONE,NONE,C5,NONE,NONE,C5,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,Health & Life Sciences,Agriculture & Environmental Science,2,Economics
A1,C4,NONE,C4,NONE,B3,NONE,NONE,C4,A1,B3,A1,NONE,NONE,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Law & Legal Studies,Law & Legal Studies,4,Marketing
B3,C4,B2,C4,A1,B2,NONE,NONE,B3,NONE,NONE,B2,NONE,NONE,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Law & Legal Studies,Law & Legal Studies,5,Civil Engineering
B2,A1,NONE,NONE,NONE,C4,C5,B2,C6,NONE,NONE,NONE,C6,C5,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,Arts & Humanities,Public Service & Social Science,1,Geography
C5,B2,NONE,NONE,A1,C6,C5,C4,E8,NONE,NONE,NONE,B2,NONE,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,Law & Legal Studies,Arts & Humanities,2,Education and Economics
B3,B2,NONE,NONE,NONE,NONE,B3,C6,A1,NONE,B3,NONE,C5,A1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,Public Service & Social Science,Business & Management,2,International Relations
C5,C4,NONE,NONE,A1,A1,NONE,C5,C6,NONE,NONE,C6,B3,NONE,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Public Service & Social Science,Agriculture & Environmental Science,3,Psychology
C6,C4,NONE,NONE,NONE,B3,B3,NONE,B3,E8,C5,NONE,NONE,B3,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,Education & Teaching,Education & Teaching,1,Social Work
C5,A1,NONE,NONE,NONE,B3,B2,C6,D7,NONE,NONE,C4,C4,NONE,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,Sciences & Mathematics,Business & Management,2,Demography and Social Statistics
C4,B3,C4,B2,C4,NONE,NONE,NONE,B3,NONE,NONE,E8,NONE,C6,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Health & Life Sciences,Business & Management,2,Medicine and Surgery
C5,A1,NONE,B2,D7,C4,C4,C5,NONE,NONE,NONE,NONE,B3,NONE,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Health & Life Sciences,Education & Teaching,4,Economics
A1,C6,B2,NONE,NONE,NONE,A1,C6,A1,NONE,NONE,C4,NONE,B2,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,Agriculture & Environmental Science,Arts & Humanities,2,International Relations
C4,B2,C4,A1,NONE,B3,NONE,NONE,NONE,D7,NONE,F9,NONE,B2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Health & Life Sciences,Agriculture & Environmental Science,1,Statistics
C4,B2,NONE,C5,C4,E8,NONE,B3,NONE,NONE,NONE,B3,NONE,C4,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Agriculture & Environmental Science,Law & Legal Studies,1,Agriculture
C4,C4,A1,A1,C4,B3,NONE,NONE,NONE,NONE,E8,A1,NONE,NONE,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Law & Legal Studies,Agriculture & Environmental Science,2,Statistics
C4,C5,NONE,C4,B3,NONE,B2,NONE,NONE,F9,NONE,F9,C6,NONE,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Engineering & Computing,Health & Life Sciences,2,Biological Sciences
B3,C4,NONE,NONE,NONE,C4,C6,C4,B3,NONE,B3,C5,NONE,NONE,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Public Service & Social Science,Public Service & Social Science,5,Demography and Social Statistics
B2,C6,B3,C5,C5,NONE,NONE,B2,B2,NONE,B2,NONE,NONE,NONE,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Education & Teaching,Agriculture & Environmental Science,2,Medicine and Surgery
C6,C4,B3,C6,A1,NONE,B2,C6,NONE,NONE,NONE,NONE,NONE,C6,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,Business & Management,Agriculture & Environmental Science,5,Agriculture
A1,B2,C6,NONE,NONE,C5,NONE,C5,NONE,C5,B2,NONE,F9,NONE,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,Business & Management,Engineering & Computing,1,Public Administration
C6,C4,NONE,NONE,C5,NONE,B2,B2,C4,C4,NONE,A1,NONE,NONE,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Health & Life Sciences,Arts & Humanities,1,International Relations
A1,C6,B2,NONE,NONE,C5,B3,C5,NONE,D7,NONE,D7,NONE,NONE,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,Law & Legal Studies,Sciences & Mathematics,4,Education and Economics
C5,C5,NONE,NONE,C4,B2,C5,NONE,C5,NONE,NONE,C4,NONE,F9,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,Public Service & Social Science,Sciences & Mathematics,4,Social Work
B2,C4,NONE,NONE,B3,B2,NONE,B3,C5,NONE,A1,NONE,B2,NONE,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,Sciences & Mathematics,Public Service & Social Science,1,Public Administration
B2,C6,B2,NONE,NONE,NONE,C4,C5,NONE,C6,NONE,NONE,B3,C5,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Law & Legal Studies,Law & Legal Studies,4,Islamic Law (Sharia)
C4,C4,C5,A1,NONE,B3,C4,C6,NONE,C6,NONE,NONE,NONE,NONE,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,Arts & Humanities,Agriculture & Environmental Science,4,Law
